
#temps e^- Ar B C K L 
0.0 1.0 1.0 0.0 0.0 0.0 0.0 
1.0 0.45000000000000007 0.7000000000000001 0.27999999999999997 0.31999999999999995 0.23000000000000004 0.23000000000000004 
2.0 0.23000000000000004 0.77 0.15 0.31000000000000005 0.45999999999999996 0.45999999999999996 
3.0 0.09 0.78 0.12999999999999998 0.31 0.6 0.6 
4.0 0.030000000000000006 0.8 0.1 0.3 0.6700000000000002 0.6700000000000002 
5.0 0.02 0.8400000000000001 0.06 0.26 0.7200000000000001 0.7200000000000001 
6.0 0.01 0.8400000000000001 0.06 0.26 0.7300000000000001 0.7300000000000001 
7.0 0.0 0.8700000000000001 0.030000000000000006 0.23000000000000004 0.7700000000000001 0.7700000000000001 
8.0 0.0 0.9 0.0 0.2 0.8 0.8 
9.0 0.0 0.9 0.0 0.2 0.8 0.8 
10.0 0.0 0.9 0.0 0.2 0.8 0.8 
11.0 0.0 0.9 0.0 0.2 0.8 0.8 
12.0 0.0 0.9 0.0 0.2 0.8 0.8 
13.0 0.0 0.9 0.0 0.2 0.8 0.8 
14.0 0.0 0.9 0.0 0.2 0.8 0.8 
15.0 0.0 0.9 0.0 0.2 0.8 0.8 
16.0 0.0 0.9 0.0 0.2 0.8 0.8 
17.0 0.0 0.9 0.0 0.2 0.8 0.8 
18.0 0.0 0.9 0.0 0.2 0.8 0.8 
19.0 0.0 0.9 0.0 0.2 0.8 0.8 
20.0 0.0 0.9 0.0 0.2 0.8 0.8 
21.0 0.0 0.9 0.0 0.2 0.8 0.8 
22.0 0.0 0.9 0.0 0.2 0.8 0.8 
23.0 0.0 0.9 0.0 0.2 0.8 0.8 
24.0 0.0 0.9 0.0 0.2 0.8 0.8 
25.0 0.0 0.9 0.0 0.2 0.8 0.8 
26.0 0.0 0.9 0.0 0.2 0.8 0.8 
27.0 0.0 0.9 0.0 0.2 0.8 0.8 
28.0 0.0 0.9 0.0 0.2 0.8 0.8 
29.0 0.0 0.9 0.0 0.2 0.8 0.8 
30.0 0.0 0.9 0.0 0.2 0.8 0.8 
